date,time,subject,blocknum,blockcode,trialnum,trialcode,response,correct,latency,stimulus1
3/13/24,16:08:26,003,1,SMf2Practice,1,achtung,0,0,1700,Attention!
3/13/24,16:08:26,003,1,SMf2Practice,2,SMf2_P_T1,0,0,2800,a
3/13/24,16:08:26,003,1,SMf2Practice,3,SMf2_P_T2,0,0,2800,i
3/13/24,16:08:26,003,1,SMf2Practice,4,SMf2_P_T3,0,0,2800,u
3/13/24,16:08:26,003,2,SMf2Practice_Abr,1,SMf2_P_Abr1,SMf_Pos9,1,3112,
3/13/24,16:08:26,003,2,SMf2Practice_Abr,2,SMf2_P_Abr2,i12,1,6536,u
3/13/24,16:08:26,003,2,SMf2Practice_Abr,3,SMf2_P_Abr3,SMf_Pos12,1,2129,
3/13/24,16:08:26,003,3,SMf2,1,achtung,0,0,1700,Attention!
3/13/24,16:08:26,003,3,SMf2,2,SMf2_T1,0,0,2800,c
3/13/24,16:08:26,003,3,SMf2,3,SMf2_T2,0,0,2800,r
3/13/24,16:08:26,003,3,SMf2,4,SMf2_T3,0,0,2800,s
3/13/24,16:08:26,003,3,SMf2,5,SMf2_T4,0,0,2800,f
3/13/24,16:08:26,003,3,SMf2,6,SMf2_T5,0,0,2800,h
3/13/24,16:08:26,003,3,SMf2,7,SMf2_T6,0,0,2800,q
3/13/24,16:08:26,003,3,SMf2,8,SMf2_T7,0,0,2800,b
3/13/24,16:08:26,003,3,SMf2,9,SMf2_T8,0,0,2800,j
3/13/24,16:08:26,003,3,SMf2,10,SMf2_T9,0,0,2800,y
3/13/24,16:08:26,003,3,SMf2,11,SMf2_T10,0,0,2800,o
3/13/24,16:08:26,003,3,SMf2,12,SMf2_T11,0,0,2800,m
3/13/24,16:08:26,003,3,SMf2,13,SMf2_T12,0,0,2800,x
3/13/24,16:08:26,003,4,test_fi_as1,1,blank_1st,0,0,1500,0
3/13/24,16:08:26,003,4,test_fi_as1,2,fi_as1,38,0,5690,BRUTE
3/13/24,16:08:26,003,4,test_fi_as1,3,blank9,0,0,1494,0
3/13/24,16:08:26,003,4,test_fi_as1,4,fi_as1,38,0,2623,RICHTER
3/13/24,16:08:26,003,4,test_fi_as1,5,blank10,0,0,1612,0
3/13/24,16:08:26,003,4,test_fi_as1,6,fi_as1,38,0,839,HOUSE
