date,time,subject,blocknum,blockcode,trialnum,trialcode,response,latency,correct,stimulus1,vpcode_hd1
3/13/24,17:16:43,5,1,SM2Practice,1,achtung,0,1700,0,Attention!,0
3/13/24,17:16:43,5,1,SM2Practice,2,SM2_P_T1,0,2800,0,Photo,0
3/13/24,17:16:43,5,1,SM2Practice,3,SM2_P_T2,0,2800,0,Sign,0
3/13/24,17:16:43,5,1,SM2Practice,4,SM2_P_T3,0,2800,0,Box,0
3/13/24,17:16:43,5,2,SM2Practice_Abr,1,SM2_P_Abr1,Sign,6544,1,Floor,0
3/13/24,17:16:43,5,2,SM2Practice_Abr,2,SM2_P_Abr2,Board,3013,1,Box,0
3/13/24,17:16:43,5,2,SM2Practice_Abr,3,SM2_P_Abr3,Pen,2312,1,Photo,0
3/13/24,17:16:43,5,3,SM2Test,1,achtung,0,1700,0,Attention!,0
3/13/24,17:16:43,5,3,SM2Test,2,SM2_T1,0,2800,0,Pepper,0
3/13/24,17:16:43,5,3,SM2Test,3,SM2_T2,0,2800,0,Glove,0
3/13/24,17:16:43,5,3,SM2Test,4,SM2_T3,0,2800,0,Straw,0
3/13/24,17:16:43,5,3,SM2Test,5,SM2_T4,0,2800,0,Mountains,0
3/13/24,17:16:43,5,3,SM2Test,6,SM2_T5,0,2800,0,Pencil,0
3/13/24,17:16:43,5,3,SM2Test,7,SM2_T6,0,2800,0,Wing,0
3/13/24,17:16:43,5,3,SM2Test,8,SM2_T7,0,2800,0,Cabbage,0
3/13/24,17:16:43,5,3,SM2Test,9,SM2_T8,0,2800,0,Piano,0
3/13/24,17:16:43,5,3,SM2Test,10,SM2_T9,0,2800,0,Brain,0
3/13/24,17:16:43,5,3,SM2Test,11,SM2_T10,0,2800,0,Horse,0
3/13/24,17:16:43,5,3,SM2Test,12,SM2_T11,0,2800,0,Shed,0
3/13/24,17:16:43,5,3,SM2Test,13,SM2_T12,0,2800,0,Pumpkin,0
3/13/24,17:16:43,5,3,SM2Test,14,SM2_T13,0,2800,0,Cash,0
3/13/24,17:16:43,5,3,SM2Test,15,SM2_T14,0,2800,0,Cello,0
3/13/24,17:16:43,5,3,SM2Test,16,SM2_T15,0,2800,0,Glass,0
3/13/24,17:16:43,5,3,SM2Test,17,SM2_T16,0,2800,0,Flower,0
3/13/24,17:16:43,5,3,SM2Test,18,SM2_T17,0,2800,0,Coast,0
3/13/24,17:16:43,5,3,SM2Test,19,SM2_T18,0,2800,0,Cream,0
3/13/24,17:16:43,5,3,SM2Test,20,SM2_T19,0,2800,0,Poker,0
3/13/24,17:16:43,5,3,SM2Test,21,SM2_T20,0,2800,0,Duck,0
3/13/24,17:16:43,5,4,Pract_erik2,1,erikICre,205,1243,1,+,0
3/13/24,17:16:43,5,4,Pract_erik2,2,erikCOli,203,654,1,+,0
3/13/24,17:16:43,5,4,Pract_erik2,3,erikICli,203,913,1,+,0
3/13/24,17:16:43,5,4,Pract_erik2,4,erikICre,205,577,1,+,0
3/13/24,17:16:43,5,4,Pract_erik2,5,erikCOre,205,624,1,+,0
3/13/24,17:16:43,5,4,Pract_erik2,6,erikCOli,203,413,1,+,0
3/13/24,17:16:43,5,4,Pract_erik2,7,erikICli,203,506,1,+,0
3/13/24,17:16:43,5,4,Pract_erik2,8,erikICli,203,444,1,+,0
3/13/24,17:16:43,5,4,Pract_erik2,9,erikICre,205,513,1,+,0
3/13/24,17:16:43,5,4,Pract_erik2,10,erikCOre,205,450,1,+,0
3/13/24,17:16:43,5,4,Pract_erik2,11,erikCOre,205,415,1,+,0
3/13/24,17:16:43,5,4,Pract_erik2,12,erikCOli,203,429,1,+,0
3/13/24,17:16:43,5,5,Test_erik2,1,erikCOre,205,1283,1,+,0
3/13/24,17:16:43,5,5,Test_erik2,2,erikICli,203,565,1,+,0
3/13/24,17:16:43,5,5,Test_erik2,3,erikICre,205,500,1,+,0
3/13/24,17:16:43,5,5,Test_erik2,4,erikICli,203,486,1,+,0
3/13/24,17:16:43,5,5,Test_erik2,5,erikICli,203,545,1,+,0
3/13/24,17:16:43,5,5,Test_erik2,6,erikICli,203,489,1,+,0
3/13/24,17:16:43,5,5,Test_erik2,7,erikCOli,203,395,1,+,0
3/13/24,17:16:43,5,5,Test_erik2,8,erikCOre,205,442,1,+,0
3/13/24,17:16:43,5,5,Test_erik2,9,erikCOli,203,382,1,+,0
3/13/24,17:16:43,5,5,Test_erik2,10,erikICli,203,486,1,+,0
